iter	Logloss
0	0.649624176
1	0.6003107834
2	0.564703064
3	0.5357730484
4	0.4784076309
5	0.4627627182
6	0.4369461823
7	0.4121909332
8	0.3936962128
9	0.3824632645
10	0.3742540741
11	0.3621733856
12	0.3570293808
13	0.3508389664
14	0.3421725845
15	0.3365793991
16	0.3323417664
17	0.3278340149
18	0.3239077377
19	0.3198931313
20	0.3167228508
21	0.3110764694
22	0.3043848801
23	0.3014415741
24	0.29530159
25	0.2920234871
26	0.2883413315
27	0.2844573975
28	0.279411869
29	0.2752586365
30	0.2731002426
31	0.2694284821
32	0.2663626289
33	0.2634401512
34	0.26103302
35	0.2577927399
36	0.2535836029
37	0.2511705208
38	0.2496620941
39	0.2473694611
40	0.2431277847
41	0.2405792236
42	0.2364830017
43	0.2340644646
44	0.2320390892
45	0.2293733978
46	0.2259127998
47	0.2231470871
48	0.2222149467
49	0.2195867538
50	0.2154902267
51	0.2116292191
52	0.2092977524
53	0.2062844086
54	0.2041176224
55	0.2004963684
56	0.197689209
57	0.1956255722
58	0.1941488266
59	0.1930834198
60	0.1915528488
61	0.1893014908
62	0.1877003479
63	0.1858068275
64	0.1836547089
65	0.1810420609
66	0.1793571663
67	0.1771341705
68	0.1748312759
69	0.1723087692
70	0.1707591248
71	0.1687580299
72	0.1660591888
73	0.164024601
74	0.1623346138
75	0.1599625206
76	0.1587495899
77	0.1565411758
78	0.1542000008
79	0.1523726082
80	0.1505559826
81	0.1486319447
82	0.1459542561
83	0.1442136669
84	0.1428084946
85	0.1403011322
86	0.1388808823
87	0.1380384922
88	0.13769104
89	0.1355825806
90	0.1344380474
91	0.1322287178
92	0.1301017189
93	0.1282199478
94	0.1263872528
95	0.1245284367
96	0.1227458286
97	0.1216232109
98	0.1198329926
99	0.1180002117
100	0.1162351799
101	0.1147706985
102	0.1144890976
103	0.1135284996
104	0.1123322773
105	0.110925827
106	0.1098877525
107	0.1083418465
108	0.1070122719
109	0.1057821083
110	0.1050517845
111	0.1036465645
112	0.1027835464
113	0.1007318687
114	0.09949542999
115	0.09811736107
116	0.0970296669
117	0.09592894554
118	0.09465564728
119	0.09349977493
120	0.092442379
121	0.09231437683
122	0.09221388817
123	0.09129818916
124	0.09027152061
125	0.08902927399
126	0.08833853722
127	0.08724798203
128	0.08646247864
129	0.08510828018
130	0.08431204796
131	0.08377016068
132	0.08297216415
133	0.08212614059
134	0.08146854401
135	0.08086718559
136	0.08013819695
137	0.07916349888
138	0.07835334778
139	0.07731678963
140	0.07676301003
141	0.07596884727
142	0.07515620232
143	0.07447203159
144	0.07374077797
145	0.07309702873
146	0.07247591972
147	0.07160448074
148	0.07083993912
149	0.07016221523
150	0.06945673466
151	0.06857218742
152	0.06754137993
153	0.06674967289
154	0.06594675064
155	0.06534272194
156	0.06480109692
157	0.0639831543
158	0.06344819069
159	0.06284790516
160	0.0624847126
161	0.06156553268
162	0.06098964214
163	0.06005984306
164	0.05930637836
165	0.05852768421
166	0.05784887791
167	0.05750695229
168	0.05667960167
169	0.0560985899
170	0.05564619541
171	0.05507768631
172	0.05452861309
173	0.05404397011
174	0.05329813957
175	0.05305588722
176	0.05242300034
177	0.05204524517
178	0.05147088051
179	0.05076718807
180	0.05019973755
181	0.04974849701
182	0.04934316635
183	0.04878505707
184	0.04839083672
185	0.04799088001
186	0.04747646809
187	0.04690073967
188	0.04638450623
189	0.04593752384
190	0.04583732128
191	0.0454396534
192	0.0450795269
193	0.04467318535
194	0.04442859173
195	0.04412734032
196	0.04377362728
197	0.04330465317
198	0.04290470123
199	0.04263359547
200	0.04225121021
201	0.04188035011
202	0.04139307499
203	0.04115748405
204	0.04081315041
205	0.04064911842
206	0.03998864174
207	0.0395112133
208	0.03907356501
209	0.03865505219
210	0.03841445446
211	0.03807351112
212	0.03774438143
213	0.03745535851
214	0.03726473808
215	0.03686953545
216	0.03656994343
217	0.03596774101
218	0.03561558962
219	0.03530498981
220	0.03509220123
221	0.03478975296
222	0.03451372147
223	0.03427366257
224	0.03408109665
225	0.03406487703
226	0.03384270191
227	0.03360614538
228	0.03337727308
229	0.03329791546
230	0.03301755905
231	0.03284914494
232	0.03239350796
233	0.03225480795
234	0.03217304945
235	0.0320561409
236	0.03170630932
237	0.03159271717
238	0.03143505573
239	0.03119869709
240	0.03106191397
241	0.03085515976
242	0.0307545042
243	0.03055140257
244	0.03035955906
245	0.03019542694
246	0.02997485399
247	0.02982302666
248	0.02962718487
249	0.02941510916
250	0.02931549072
251	0.02895594835
252	0.02876748323
253	0.02858543158
254	0.02847584963
255	0.0282677269
256	0.02813801527
257	0.02796403885
258	0.02771389008
259	0.02744385242
260	0.02743470907
261	0.02729981661
262	0.0271210146
263	0.02701330185
264	0.02686600685
265	0.02656821728
266	0.02629534245
267	0.02612965584
268	0.02589269161
269	0.02581936836
270	0.02565704823
271	0.02538844585
272	0.02511160374
273	0.02509925604
274	0.02499709606
275	0.02490246296
276	0.0247909832
277	0.02465967655
278	0.02445153713
279	0.02443923473
280	0.02430834293
281	0.02421598434
282	0.02405117035
283	0.02388113737
284	0.02372378349
285	0.02353925467
286	0.02346444368
287	0.02334831238
288	0.02322245836
289	0.02313248634
290	0.02305754185
291	0.02290526152
292	0.02272130728
293	0.02258875847
294	0.0224289465
295	0.02225700378
296	0.02212897778
297	0.02195735931
298	0.02182744741
299	0.02173277855
