iter	Logloss
0	0.6896584034
1	0.6838447571
2	0.6780396461
3	0.671628952
4	0.664622879
5	0.6577110291
6	0.6533565521
7	0.6479178429
8	0.6418905258
9	0.6352174759
10	0.6326129436
11	0.6269270897
12	0.6217056274
13	0.618044281
14	0.6134946346
15	0.6095043182
16	0.6065258503
17	0.60062356
18	0.5943818092
19	0.587060833
20	0.5815782547
21	0.5784471035
22	0.5733925819
23	0.5706896782
24	0.5677163124
25	0.5622136116
26	0.5585860729
27	0.5554780006
28	0.5515655041
29	0.5500592232
30	0.5477696896
31	0.5455574512
32	0.5434868813
33	0.5394158363
34	0.5363409042
35	0.5339646339
36	0.5300214291
37	0.528316021
38	0.5248392105
39	0.521677351
40	0.5168269157
41	0.5150788307
42	0.512963438
43	0.5113473892
44	0.5093862057
45	0.5076338291
46	0.5054520607
47	0.5035020351
48	0.501033926
49	0.4981580257
50	0.4958491802
51	0.4929409981
52	0.491455698
53	0.4895076752
54	0.4880259991
55	0.4848579884
56	0.4802134514
57	0.4789153099
58	0.4745388985
59	0.4717473984
60	0.4705896378
61	0.467586422
62	0.4650388718
63	0.4635886669
64	0.4610427856
65	0.4596653938
66	0.4574483395
67	0.4561854362
68	0.4547470093
69	0.4524376392
70	0.4508896828
71	0.4497963428
72	0.4484685898
73	0.4471827984
74	0.4460954666
75	0.4441999435
76	0.4420753956
77	0.4411774158
78	0.4398109913
79	0.4373010635
80	0.4360686779
81	0.435147047
82	0.4333029747
83	0.4313648224
84	0.4290464878
85	0.4268815041
86	0.4259166718
87	0.4247306824
88	0.4229563236
89	0.4218886375
90	0.4201235771
91	0.4191802979
92	0.4183630466
93	0.4176780224
94	0.4165951729
95	0.4142394066
96	0.4118721962
97	0.4108435631
98	0.4102697372
99	0.409249115
100	0.4070950508
101	0.406336689
102	0.4055687904
103	0.4046453476
104	0.4035691261
105	0.4027674675
106	0.4003713608
107	0.3983493328
108	0.3970234394
109	0.3955735683
110	0.3948629379
111	0.3940756321
112	0.392709446
113	0.3919786215
114	0.3908933878
115	0.3885516167
116	0.3865038872
117	0.3853791714
118	0.3844408035
119	0.3826435566
120	0.3812691689
121	0.3798736334
122	0.3777616024
123	0.3768584251
124	0.3760310173
125	0.3746473074
126	0.3740520954
127	0.3729325533
128	0.3722703695
129	0.3705686331
130	0.3698025942
131	0.3689603806
